Artifact,Bytes,SHA256
P16_CANONICAL_ARTIFACT_MAP_v1.1.csv,840,cace77e71438ff7f5105c2db0d37ce4e8acd18f19bd7865996f6f93d794f5d3c
P16_CONTROLLED_RESIDUAL_47_v1.1.csv,9939,b6e4d916bc67f7bcb24f33bc15e9aa89f7426fcf0636bb296bc4d2d31e60529e
P16_CORE_IP_00-16_CURRENT_BASELINE_v1.1.csv,9723,fb7682905d4dd4ef349199f184abb8f80ba5e309237e4fb9daed83f5aabd4a3f
P16_CORE_SOURCE_INDEX_45_v1.1.csv,7239,ec5007eb58acce283b11c6520a36cfb890bab8e4c06644dd07d899ac20431f57
P16_FINAL_GATE_v1.1.md,704,6b5e89378723f86ca21332c8f07e0f38b8ccc0f3cc221db2e4b0f1850a60b04d
P16_FINDING_REGISTER_v1.1.csv,1206,67543b91bc056e1f2a4d6bedb9cc25524ba70c441705dce3e639c2e9ee9a3a27
P16_FIRST_FULL_DEEP_SCAN_v1.1.md,904,b41dbd3d4266944515a61b94f7b21750c8d81b5ee72502a895cde536dab9e3f5
P16_LOCKED_DECISIONS_7_v1.1.csv,1600,a31937d7711e6fa6657ddbf0c4b8301905f7eb636ddd76f60a35eaaf5a48187c
P16_M01-M15_CURRENT_BASELINE_v1.1.csv,8201,6fb89a19ca01a078ed02e46c4778784e11bd1291ff4acf65bb0c9ed31a8eb686
P16_PSTEP_BASELINE_v1.1.csv,2237,e9e45ed168d836c23dab8728da3d3260b1249de221ab83a3d3de3fdbdf0399c8
P16_README_CURRENT_BASELINE_FULL_REBUILD_v1.1.docx,38644,c813283ec52d0e3de63009f806e7262b5bb246cc4786c556aae63867b47a26bf
P16_SCOPE_COVERAGE_M01-M15_CORE_v1.1.csv,3341,b8a51a91027da020d0e503e86bfa94390155a574d7a120bf9c7009f05cc40e6e
P16_SECOND_FULL_DEEP_SCAN_v1.1.md,494,f858b7b0fa29385a0704d959cfa3d151dabd2402ec2b175eda18dfe977d36288
P16_UPLOADED_CORPUS_SHA256_v1.1.csv,683,460aeb6eea0016cc2484a7569a5068b2ea74bedcc2ceb4664e4a6d187b38f279
README.md,7703,a8f729e0f0aabb76b0f6945481dde0b9b5b4d38701e500852c267d905ce6c9c6
