province_code,code,name,type
11,1101,Kabupaten Aceh Selatan,kabupaten
11,1102,Kabupaten Aceh Tenggara,kabupaten
11,1103,Kabupaten Aceh Timur,kabupaten
11,1104,Kabupaten Aceh Tengah,kabupaten
11,1105,Kabupaten Aceh Barat,kabupaten
11,1106,Kabupaten Aceh Besar,kabupaten
11,1107,Kabupaten Pidie,kabupaten
11,1108,Kabupaten Aceh Utara,kabupaten
11,1109,Kabupaten Simeulue,kabupaten
11,1110,Kabupaten Aceh Singkil,kabupaten
11,1111,Kabupaten Bireuen,kabupaten
11,1112,Kabupaten Aceh Barat Daya,kabupaten
11,1113,Kabupaten Gayo Lues,kabupaten
11,1114,Kabupaten Aceh Jaya,kabupaten
11,1115,Kabupaten Nagan Raya,kabupaten
11,1116,Kabupaten Aceh Tamiang,kabupaten
11,1117,Kabupaten Bener Meriah,kabupaten
11,1118,Kabupaten Pidie Jaya,kabupaten
11,1171,Kota Banda Aceh,kota
11,1172,Kota Sabang,kota
11,1173,Kota Lhokseumawe,kota
11,1174,Kota Langsa,kota
11,1175,Kota Subulussalam,kota
12,1201,Kabupaten Tapanuli Tengah,kabupaten
12,1202,Kabupaten Tapanuli Utara,kabupaten
12,1203,Kabupaten Tapanuli Selatan,kabupaten
12,1204,Kabupaten Nias,kabupaten
12,1205,Kabupaten Langkat,kabupaten
12,1206,Kabupaten Karo,kabupaten
12,1207,Kabupaten Deli Serdang,kabupaten
12,1208,Kabupaten Simalungun,kabupaten
12,1209,Kabupaten Asahan,kabupaten
12,1210,Kabupaten Labuhanbatu,kabupaten
12,1211,Kabupaten Dairi,kabupaten
12,1212,Kabupaten Toba,kabupaten
12,1213,Kabupaten Mandailing Natal,kabupaten
12,1214,Kabupaten Nias Selatan,kabupaten
12,1215,Kabupaten Pakpak Bharat,kabupaten
12,1216,Kabupaten Humbang Hasundutan,kabupaten
12,1217,Kabupaten Samosir,kabupaten
12,1218,Kabupaten Serdang Bedagai,kabupaten
12,1219,Kabupaten Batu Bara,kabupaten
12,1220,Kabupaten Padang Lawas Utara,kabupaten
12,1221,Kabupaten Padang Lawas,kabupaten
12,1222,Kabupaten Labuhanbatu Selatan,kabupaten
12,1223,Kabupaten Labuhanbatu Utara,kabupaten
12,1224,Kabupaten Nias Utara,kabupaten
12,1225,Kabupaten Nias Barat,kabupaten
12,1271,Kota Medan,kota
12,1272,Kota Pematangsiantar,kota
12,1273,Kota Sibolga,kota
12,1274,Kota Tanjungbalai,kota
12,1275,Kota Binjai,kota
12,1276,Kota Tebing Tinggi,kota
12,1277,Kota Padangsidimpuan,kota
12,1278,Kota Gunungsitoli,kota
13,1301,Kabupaten Pesisir Selatan,kabupaten
13,1302,Kabupaten Solok,kabupaten
13,1303,Kabupaten Sijunjung,kabupaten
13,1304,Kabupaten Tanah Datar,kabupaten
13,1305,Kabupaten Padang Pariaman,kabupaten
13,1306,Kabupaten Agam,kabupaten
13,1307,Kabupaten Lima Puluh Kota,kabupaten
13,1308,Kabupaten Pasaman,kabupaten
13,1309,Kabupaten Kepulauan Mentawai,kabupaten
13,1310,Kabupaten Dharmasraya,kabupaten
13,1311,Kabupaten Solok Selatan,kabupaten
13,1312,Kabupaten Pasaman Barat,kabupaten
13,1371,Kota Padang,kota
13,1372,Kota Solok,kota
13,1373,Kota Sawahlunto,kota
13,1374,Kota Padang Panjang,kota
13,1375,Kota Bukittinggi,kota
13,1376,Kota Payakumbuh,kota
13,1377,Kota Pariaman,kota
14,1401,Kabupaten Kampar,kabupaten
14,1402,Kabupaten Indragiri Hulu,kabupaten
14,1403,Kabupaten Bengkalis,kabupaten
14,1404,Kabupaten Indragiri Hilir,kabupaten
14,1405,Kabupaten Pelalawan,kabupaten
14,1406,Kabupaten Rokan Hulu,kabupaten
14,1407,Kabupaten Rokan Hilir,kabupaten
14,1408,Kabupaten Siak,kabupaten
14,1409,Kabupaten Kuantan Singingi,kabupaten
14,1410,Kabupaten Kepulauan Meranti,kabupaten
14,1471,Kota Pekanbaru,kota
14,1472,Kota Dumai,kota
15,1501,Kabupaten Kerinci,kabupaten
15,1502,Kabupaten Merangin,kabupaten
15,1503,Kabupaten Sarolangun,kabupaten
15,1504,Kabupaten Batanghari,kabupaten
15,1505,Kabupaten Muaro Jambi,kabupaten
15,1506,Kabupaten Tanjung Jabung Barat,kabupaten
15,1507,Kabupaten Tanjung Jabung Timur,kabupaten
15,1508,Kabupaten Bungo,kabupaten
15,1509,Kabupaten Tebo,kabupaten
15,1571,Kota Jambi,kota
15,1572,Kota Sungai Penuh,kota
16,1601,Kabupaten Ogan Komering Ulu,kabupaten
16,1602,Kabupaten Ogan Komering Ilir,kabupaten
16,1603,Kabupaten Muara Enim,kabupaten
16,1604,Kabupaten Lahat,kabupaten
16,1605,Kabupaten Musi Rawas,kabupaten
16,1606,Kabupaten Musi Banyuasin,kabupaten
16,1607,Kabupaten Banyuasin,kabupaten
16,1608,Kabupaten Ogan Komering Ulu Timur,kabupaten
16,1609,Kabupaten Ogan Komering Ulu Selatan,kabupaten
16,1610,Kabupaten Ogan Ilir,kabupaten
16,1611,Kabupaten Empat Lawang,kabupaten
16,1612,Kabupaten Penukal Abab Lematang Ilir,kabupaten
16,1613,Kabupaten Musi Rawas Utara,kabupaten
16,1671,Kota Palembang,kota
16,1672,Kota Pagar Alam,kota
16,1673,Kota Lubuk Linggau,kota
16,1674,Kota Prabumulih,kota
17,1701,Kabupaten Bengkulu Selatan,kabupaten
17,1702,Kabupaten Rejang Lebong,kabupaten
17,1703,Kabupaten Bengkulu Utara,kabupaten
17,1704,Kabupaten Kaur,kabupaten
17,1705,Kabupaten Seluma,kabupaten
17,1706,Kabupaten Mukomuko,kabupaten
17,1707,Kabupaten Lebong,kabupaten
17,1708,Kabupaten Kepahiang,kabupaten
17,1709,Kabupaten Bengkulu Tengah,kabupaten
17,1771,Kota Bengkulu,kota
18,1801,Kabupaten Lampung Selatan,kabupaten
18,1802,Kabupaten Lampung Tengah,kabupaten
18,1803,Kabupaten Lampung Utara,kabupaten
18,1804,Kabupaten Lampung Barat,kabupaten
18,1805,Kabupaten Tulang Bawang,kabupaten
18,1806,Kabupaten Tanggamus,kabupaten
18,1807,Kabupaten Lampung Timur,kabupaten
18,1808,Kabupaten Way Kanan,kabupaten
18,1809,Kabupaten Pesawaran,kabupaten
18,1810,Kabupaten Pringsewu,kabupaten
18,1811,Kabupaten Mesuji,kabupaten
18,1812,Kabupaten Tulang Bawang Barat,kabupaten
18,1813,Kabupaten Pesisir Barat,kabupaten
18,1871,Kota Bandar Lampung,kota
18,1872,Kota Metro,kota
19,1901,Kabupaten Bangka,kabupaten
19,1902,Kabupaten Belitung,kabupaten
19,1903,Kabupaten Bangka Selatan,kabupaten
19,1904,Kabupaten Bangka Tengah,kabupaten
19,1905,Kabupaten Bangka Barat,kabupaten
19,1906,Kabupaten Belitung Timur,kabupaten
19,1971,Kota Pangkal Pinang,kota
21,2101,Kabupaten Bintan,kabupaten
21,2102,Kabupaten Karimun,kabupaten
21,2103,Kabupaten Natuna,kabupaten
21,2104,Kabupaten Lingga,kabupaten
21,2105,Kabupaten Kepulauan Anambas,kabupaten
21,2171,Kota Batam,kota
21,2172,Kota Tanjung Pinang,kota
31,3101,Kabupaten Administrasi Kepulauan Seribu,kabupaten
31,3171,Kota Administrasi Jakarta Pusat,kota
31,3172,Kota Administrasi Jakarta Utara,kota
31,3173,Kota Administrasi Jakarta Barat,kota
31,3174,Kota Administrasi Jakarta Selatan,kota
31,3175,Kota Administrasi Jakarta Timur,kota
32,3201,Kabupaten Bogor,kabupaten
32,3202,Kabupaten Sukabumi,kabupaten
32,3203,Kabupaten Cianjur,kabupaten
32,3204,Kabupaten Bandung,kabupaten
32,3205,Kabupaten Garut,kabupaten
32,3206,Kabupaten Tasikmalaya,kabupaten
32,3207,Kabupaten Ciamis,kabupaten
32,3208,Kabupaten Kuningan,kabupaten
32,3209,Kabupaten Cirebon,kabupaten
32,3210,Kabupaten Majalengka,kabupaten
32,3211,Kabupaten Sumedang,kabupaten
32,3212,Kabupaten Indramayu,kabupaten
32,3213,Kabupaten Subang,kabupaten
32,3214,Kabupaten Purwakarta,kabupaten
32,3215,Kabupaten Karawang,kabupaten
32,3216,Kabupaten Bekasi,kabupaten
32,3217,Kabupaten Bandung Barat,kabupaten
32,3218,Kabupaten Pangandaran,kabupaten
32,3271,Kota Bogor,kota
32,3272,Kota Sukabumi,kota
32,3273,Kota Bandung,kota
32,3274,Kota Cirebon,kota
32,3275,Kota Bekasi,kota
32,3276,Kota Depok,kota
32,3277,Kota Cimahi,kota
32,3278,Kota Tasikmalaya,kota
32,3279,Kota Banjar,kota
33,3301,Kabupaten Cilacap,kabupaten
33,3302,Kabupaten Banyumas,kabupaten
33,3303,Kabupaten Purbalingga,kabupaten
33,3304,Kabupaten Banjarnegara,kabupaten
33,3305,Kabupaten Kebumen,kabupaten
33,3306,Kabupaten Purworejo,kabupaten
33,3307,Kabupaten Wonosobo,kabupaten
33,3308,Kabupaten Magelang,kabupaten
33,3309,Kabupaten Boyolali,kabupaten
33,3310,Kabupaten Klaten,kabupaten
33,3311,Kabupaten Sukoharjo,kabupaten
33,3312,Kabupaten Wonogiri,kabupaten
33,3313,Kabupaten Karanganyar,kabupaten
33,3314,Kabupaten Sragen,kabupaten
33,3315,Kabupaten Grobogan,kabupaten
33,3316,Kabupaten Blora,kabupaten
33,3317,Kabupaten Rembang,kabupaten
33,3318,Kabupaten Pati,kabupaten
33,3319,Kabupaten Kudus,kabupaten
33,3320,Kabupaten Jepara,kabupaten
33,3321,Kabupaten Demak,kabupaten
33,3322,Kabupaten Semarang,kabupaten
33,3323,Kabupaten Temanggung,kabupaten
33,3324,Kabupaten Kendal,kabupaten
33,3325,Kabupaten Batang,kabupaten
33,3326,Kabupaten Pekalongan,kabupaten
33,3327,Kabupaten Pemalang,kabupaten
33,3328,Kabupaten Tegal,kabupaten
33,3329,Kabupaten Brebes,kabupaten
33,3371,Kota Magelang,kota
33,3372,Kota Surakarta,kota
33,3373,Kota Salatiga,kota
33,3374,Kota Semarang,kota
33,3375,Kota Pekalongan,kota
33,3376,Kota Tegal,kota
34,3401,Kabupaten Kulon Progo,kabupaten
34,3402,Kabupaten Bantul,kabupaten
34,3403,Kabupaten Gunungkidul,kabupaten
34,3404,Kabupaten Sleman,kabupaten
34,3471,Kota Yogyakarta,kota
35,3501,Kabupaten Pacitan,kabupaten
35,3502,Kabupaten Ponorogo,kabupaten
35,3503,Kabupaten Trenggalek,kabupaten
35,3504,Kabupaten Tulungagung,kabupaten
35,3505,Kabupaten Blitar,kabupaten
35,3506,Kabupaten Kediri,kabupaten
35,3507,Kabupaten Malang,kabupaten
35,3508,Kabupaten Lumajang,kabupaten
35,3509,Kabupaten Jember,kabupaten
35,3510,Kabupaten Banyuwangi,kabupaten
35,3511,Kabupaten Bondowoso,kabupaten
35,3512,Kabupaten Situbondo,kabupaten
35,3513,Kabupaten Probolinggo,kabupaten
35,3514,Kabupaten Pasuruan,kabupaten
35,3515,Kabupaten Sidoarjo,kabupaten
35,3516,Kabupaten Mojokerto,kabupaten
35,3517,Kabupaten Jombang,kabupaten
35,3518,Kabupaten Nganjuk,kabupaten
35,3519,Kabupaten Madiun,kabupaten
35,3520,Kabupaten Magetan,kabupaten
35,3521,Kabupaten Ngawi,kabupaten
35,3522,Kabupaten Bojonegoro,kabupaten
35,3523,Kabupaten Tuban,kabupaten
35,3524,Kabupaten Lamongan,kabupaten
35,3525,Kabupaten Gresik,kabupaten
35,3526,Kabupaten Bangkalan,kabupaten
35,3527,Kabupaten Sampang,kabupaten
35,3528,Kabupaten Pamekasan,kabupaten
35,3529,Kabupaten Sumenep,kabupaten
35,3571,Kota Kediri,kota
35,3572,Kota Blitar,kota
35,3573,Kota Malang,kota
35,3574,Kota Probolinggo,kota
35,3575,Kota Pasuruan,kota
35,3576,Kota Mojokerto,kota
35,3577,Kota Madiun,kota
35,3578,Kota Surabaya,kota
35,3579,Kota Batu,kota
36,3601,Kabupaten Pandeglang,kabupaten
36,3602,Kabupaten Lebak,kabupaten
36,3603,Kabupaten Tangerang,kabupaten
36,3604,Kabupaten Serang,kabupaten
36,3671,Kota Tangerang,kota
36,3672,Kota Cilegon,kota
36,3673,Kota Serang,kota
36,3674,Kota Tangerang Selatan,kota
51,5101,Kabupaten Jembrana,kabupaten
51,5102,Kabupaten Tabanan,kabupaten
51,5103,Kabupaten Badung,kabupaten
51,5104,Kabupaten Gianyar,kabupaten
51,5105,Kabupaten Klungkung,kabupaten
51,5106,Kabupaten Bangli,kabupaten
51,5107,Kabupaten Karangasem,kabupaten
51,5108,Kabupaten Buleleng,kabupaten
51,5171,Kota Denpasar,kota
52,5201,Kabupaten Lombok Barat,kabupaten
52,5202,Kabupaten Lombok Tengah,kabupaten
52,5203,Kabupaten Lombok Timur,kabupaten
52,5204,Kabupaten Sumbawa,kabupaten
52,5205,Kabupaten Dompu,kabupaten
52,5206,Kabupaten Bima,kabupaten
52,5207,Kabupaten Sumbawa Barat,kabupaten
52,5208,Kabupaten Lombok Utara,kabupaten
52,5271,Kota Mataram,kota
52,5272,Kota Bima,kota
53,5301,Kabupaten Kupang,kabupaten
53,5302,Kabupaten Timor Tengah Selatan,kabupaten
53,5303,Kabupaten Timor Tengah Utara,kabupaten
53,5304,Kabupaten Belu,kabupaten
53,5305,Kabupaten Alor,kabupaten
53,5306,Kabupaten Flores Timur,kabupaten
53,5307,Kabupaten Sikka,kabupaten
53,5308,Kabupaten Ende,kabupaten
53,5309,Kabupaten Ngada,kabupaten
53,5310,Kabupaten Manggarai,kabupaten
53,5311,Kabupaten Sumba Timur,kabupaten
53,5312,Kabupaten Sumba Barat,kabupaten
53,5313,Kabupaten Lembata,kabupaten
53,5314,Kabupaten Rote Ndao,kabupaten
53,5315,Kabupaten Manggarai Barat,kabupaten
53,5316,Kabupaten Nagekeo,kabupaten
53,5317,Kabupaten Sumba Tengah,kabupaten
53,5318,Kabupaten Sumba Barat Daya,kabupaten
53,5319,Kabupaten Manggarai Timur,kabupaten
53,5320,Kabupaten Sabu Raijua,kabupaten
53,5321,Kabupaten Malaka,kabupaten
53,5371,Kota Kupang,kota
61,6101,Kabupaten Sambas,kabupaten
61,6102,Kabupaten Mempawah,kabupaten
61,6103,Kabupaten Sanggau,kabupaten
61,6104,Kabupaten Ketapang,kabupaten
61,6105,Kabupaten Sintang,kabupaten
61,6106,Kabupaten Kapuas Hulu,kabupaten
61,6107,Kabupaten Bengkayang,kabupaten
61,6108,Kabupaten Landak,kabupaten
61,6109,Kabupaten Sekadau,kabupaten
61,6110,Kabupaten Melawi,kabupaten
61,6111,Kabupaten Kayong Utara,kabupaten
61,6112,Kabupaten Kubu Raya,kabupaten
61,6171,Kota Pontianak,kota
61,6172,Kota Singkawang,kota
62,6201,Kabupaten Kotawaringin Barat,kabupaten
62,6202,Kabupaten Kotawaringin Timur,kabupaten
62,6203,Kabupaten Kapuas,kabupaten
62,6204,Kabupaten Barito Selatan,kabupaten
62,6205,Kabupaten Barito Utara,kabupaten
62,6206,Kabupaten Katingan,kabupaten
62,6207,Kabupaten Seruyan,kabupaten
62,6208,Kabupaten Sukamara,kabupaten
62,6209,Kabupaten Lamandau,kabupaten
62,6210,Kabupaten Gunung Mas,kabupaten
62,6211,Kabupaten Pulang Pisau,kabupaten
62,6212,Kabupaten Murung Raya,kabupaten
62,6213,Kabupaten Barito Timur,kabupaten
62,6271,Kota Palangkaraya,kota
63,6301,Kabupaten Tanah Laut,kabupaten
63,6302,Kabupaten Kotabaru,kabupaten
63,6303,Kabupaten Banjar,kabupaten
63,6304,Kabupaten Barito Kuala,kabupaten
63,6305,Kabupaten Tapin,kabupaten
63,6306,Kabupaten Hulu Sungai Selatan,kabupaten
63,6307,Kabupaten Hulu Sungai Tengah,kabupaten
63,6308,Kabupaten Hulu Sungai Utara,kabupaten
63,6309,Kabupaten Tabalong,kabupaten
63,6310,Kabupaten Tanah Bumbu,kabupaten
63,6311,Kabupaten Balangan,kabupaten
63,6371,Kota Banjarmasin,kota
63,6372,Kota Banjarbaru,kota
64,6401,Kabupaten Paser,kabupaten
64,6402,Kabupaten Kutai Kartanegara,kabupaten
64,6403,Kabupaten Berau,kabupaten
64,6407,Kabupaten Kutai Barat,kabupaten
64,6408,Kabupaten Kutai Timur,kabupaten
64,6409,Kabupaten Penajam Paser Utara,kabupaten
64,6411,Kabupaten Mahakam Ulu,kabupaten
64,6471,Kota Balikpapan,kota
64,6472,Kota Samarinda,kota
64,6474,Kota Bontang,kota
65,6501,Kabupaten Bulungan,kabupaten
65,6502,Kabupaten Malinau,kabupaten
65,6503,Kabupaten Nunukan,kabupaten
65,6504,Kabupaten Tana Tidung,kabupaten
65,6571,Kota Tarakan,kota
71,7101,Kabupaten Bolaang Mongondow,kabupaten
71,7102,Kabupaten Minahasa,kabupaten
71,7103,Kabupaten Kepulauan Sangihe,kabupaten
71,7104,Kabupaten Kepulauan Talaud,kabupaten
71,7105,Kabupaten Minahasa Selatan,kabupaten
71,7106,Kabupaten Minahasa Utara,kabupaten
71,7107,Kabupaten Minahasa Tenggara,kabupaten
71,7108,Kabupaten Bolaang Mongondow Utara,kabupaten
71,7109,Kabupaten Kep. Siau Tagulandang Biaro,kabupaten
71,7110,Kabupaten Bolaang Mongondow Timur,kabupaten
71,7111,Kabupaten Bolaang Mongondow Selatan,kabupaten
71,7171,Kota Manado,kota
71,7172,Kota Bitung,kota
71,7173,Kota Tomohon,kota
